Title,Column,Labels,Assignees,Initiative,Milestone
Update the IT Strategy Initiatives page,Done Enough,"Website, Initiative: Micro-acquisition",RachelMuston,,Micro-acquisitions pilot: Closeout
message to the mailing list subscribers,Done Enough,Initiative: Micro-acquisition,,,Micro-acquisitions pilot: Closeout
Update the micro-acquisition website,Done Enough,Initiative: Micro-acquisition,RachelMuston,,Micro-acquisitions pilot: Closeout
Closeout blog post,Done Enough,Initiative: Micro-acquisition,RachelMuston,,Micro-acquisitions pilot: Closeout
Closeout report,Done Enough,Initiative: Micro-acquisition,RachelMuston,,Micro-acquisitions pilot: Closeout
Add the blog post link to the english and french MA initiative pages,Done Enough,Initiative: Micro-acquisition,RachelMuston,,Micro-acquisitions pilot: Closeout
Closeout blog - merge on May 5,Done Enough,Initiative: Micro-acquisition,RachelMuston,,Micro-acquisitions pilot: Closeout
MA report - merge on May 5th,Done Enough,Initiative: Micro-acquisition,RachelMuston,,Micro-acquisitions pilot: Closeout
"One Pager - ""Why Open First""",Done Enough,,gabrielcossette,,Open First Center of Enablement
Git and GitHub 101,Done Enough,Training,,,Our Team Continuous Improvement and Administration
"JC OSS - Refactor Learning Material ""story""",Done Enough,"Open Source, Joint Council",gcharest,,Ongoing Advice and Unplanned Work
JC OSS - Setup Github Pages site,Done Enough,"Open Source, Joint Council",gcharest,,Ongoing Advice and Unplanned Work
Upload ICCS OSS WG material to Github repo,Done Enough,"Open Source, Joint Council",gcharest,,Ongoing Advice and Unplanned Work
Present at GC Agility,Done Enough,Initiative: Product Management,remyb2canada,,Product Mgt - Communications and Awareness Raising
MA package for others to take and re-use,Done Enough,Initiative: Micro-acquisition,,,
update link-check,Done Enough,,RachelMuston,,
Remove MA link from the student employment page on Canada.ca,Done Enough,Initiative: Micro-acquisition,RachelMuston,,Micro-acquisitions pilot: Closeout
Consult Report,Done Enough,Initiative: IITB Diagnostic Study,"philipe-girard, JSantosPS",,IITB Diagnostic Study 2021
IIN - Measuring Success,Done Enough,Quarter 3,remyb2canada,,Our Team Continuous Improvement and Administration
Add guidance on the fit of formal projects within Product Management,Done Enough,Initiative: Product Management,remyb2canada,,Product Mgt - Produce Framework
"MA - update the User guide to reference GC Forms ",Done Enough,Initiative: Micro-acquisition,RachelMuston,,Micro-acquisitions pilot: Closeout
Get in contact with TA and chat bot example,Done Enough,Initiative: Product Management,remyb2canada,,Product Mgt - Produce Framework
Add guidance on the fit of EA within the Product Management framework,Done Enough,Initiative: Product Management,remyb2canada,,Product Mgt - Produce Framework
Address EA comments,Done Enough,Initiative: Product Management,remyb2canada,,Product Mgt - Produce Framework
Comment on Job Bank MPIB deck,Done Enough,Initiative: Product Management,remyb2canada,,Product Mgt - Communications and Awareness Raising
Checkin with BRM on the IT Costing Tool,Done Enough,Initiative: Product Management,remyb2canada,,Product Mgt - Produce Framework
Presentation to EDS,Done Enough,Initiative: Product Management,remyb2canada,,Product Mgt - Communications and Awareness Raising
Reach out to SSC,Done Enough,Initiative: Women and Leadership in IM/IT,LeighGardner,,Study on Women and Leadership in IM/IT
Research on Public Service Survey,Done Enough,Initiative: Women and Leadership in IM/IT,LeighGardner,,Study on Women and Leadership in IM/IT
Find a tool to conduct a survey for measuring the level of UX maturity in IITB,Done Enough,,ElminaIusifova,,"UX Assessment and Framework  "
Meet with Jonathan Jones from IFFS to discuss the survey tool,Done Enough,,ElminaIusifova,,"UX Assessment and Framework  "
Draft an email for stakeholders for partnership,Done Enough,,ElminaIusifova,,"UX Assessment and Framework  "
Engage with Vendor Management Office to understand better,Done Enough,Initiative: Product Management,remyb2canada,,Product Mgt - Produce Framework
Shorten the content on IT Strategy SP site,Done Enough,Communications,ElminaIusifova,,SharePoint Configuration
Send an email to all the working level folks - kick start,Done Enough,Initiative: Software Assessment,,,Sharing Software Assessment Pilot - 1. Planning
Hold meeting with EA for their contributions,Done Enough,Initiative: Product Management,remyb2canada,,Product Mgt - Produce Framework
Look at EA's Strategy and roadmap to link to the Product Management Framework,Done Enough,Initiative: Product Management,remyb2canada,,Product Mgt - Produce Framework
Confirm if possible to share SA&As and TRAs with other departments.,Done Enough,"documentation, Open Source, Strategies, toil, Outreach, Initiative: Software Assessment",,,Sharing Software Assessment Pilot - 1. Planning
PPMP - WG actions,Done Enough,Initiative: Product Management,remyb2canada,,Product Mgt - Produce Framework
Investigate The Open Group DPBoKP,Done Enough,Initiative: Product Management,remyb2canada,,Product Mgt - Do Research (Ongoing)
PPMP (Project and Progarmme Management Practice) modernization feedback,Done Enough,Initiative: Product Management,remyb2canada,,Product Mgt - Produce Framework
Move software assessment files to the new sharepoint site,Done Enough,Initiative: Software Assessment,RachelMuston,,Our Team Continuous Improvement and Administration
Meet with the directors of the pillars,Done Enough,Initiative: Software Assessment,RachelMuston,,Sharing Software Assessment Pilot - 1. Planning
find/document ESDC clients of Micro-procurement,Done Enough,Initiative: Micro-acquisition,RachelMuston,,Micro-acquisitions pilot: Communications
CS-02 Process Next Steps,Done Enough,Initiative: HR Process,philipe-girard,,IM/IT Strategy and Planning HR Process
Présentation en anglais et français,Done Enough,Initiative: Product Management,remyb2canada,,Product Mgt - Produce Framework
SABR extended mgt committee,Done Enough,Initiative: Product Management,remyb2canada,,Product Mgt - Produce Framework
Make IT Strategy SP site bilingual,Done Enough,Administration,ElminaIusifova,,
Research stats about women in IT in ESDC,Done Enough,,ElminaIusifova,,Study on Women and Leadership in IM/IT
Develop concept briefing for Women and Leadership in IM/IT Study,Done Enough,Initiative: Women and Leadership in IM/IT,LeighGardner,,Study on Women and Leadership in IM/IT
Book meeting with Finance,Done Enough,Initiative: Product Management,remyb2canada,,Product Mgt - Produce Framework
Publish updates to IT Strategy site,Done Enough,Initiative: Product Management,remyb2canada,,Product Mgt - Produce Framework
Updates to the Product Mgt Framework after 1st peer review,Done Enough,Initiative: Product Management,,,Product Mgt - Produce Framework
PM CoP deck,Done Enough,Initiative: Product Management,remyb2canada,,Product Mgt - Produce Framework
Add team calendar to a new Sharepoint,Done Enough,,,,Our Team Continuous Improvement and Administration
HRSB round 2,Done Enough,Initiative: Product Management,remyb2canada,,Product Mgt - Produce Framework
Broadcast at IIN,Done Enough,Initiative: Product Management,remyb2canada,,Product Mgt - TMD's Product Management Event Day
Move TSDM and Product Mgt sharepoint to new sharepoint,Done Enough,Communications,remyb2canada,,SharePoint Configuration
Speech for IITB,Done Enough,Initiative: Product Management,remyb2canada,,Product Mgt - TMD's Product Management Event Day
New Dashboard,Done Enough,,LeighGardner,,Our Team Continuous Improvement and Administration
Get feedback from Gartner,Done Enough,,,,Sharing Software Assessment Pilot - 1. Planning
Testing GCExchange,Done Enough,Initiative: Software Assessment,RachelMuston,,Sharing Software Assessment Pilot - 1. Planning
"Look at who else is doing this (in the GC, other govs, best practices)",Done Enough,Initiative: Software Assessment,RachelMuston,,Sharing Software Assessment Pilot - 1. Planning
Document existing software assessment process in ESDC,Done Enough,Initiative: Software Assessment,RachelMuston,,Sharing Software Assessment Pilot - 1. Planning
Write deck to be used for buy-in,Done Enough,Initiative: Software Assessment,RachelMuston,,Sharing Software Assessment Pilot - 1. Planning
Hire New CS-03,Done Enough,,philipe-girard,,IM/IT Strategy and Planning HR Process
Prepare Summary Deck of the WWH Report,Done Enough,,"ElminaIusifova, philipe-girard, LeighGardner, JSantosPS",,IITB Diagnostic Study 2021
"Training - cost, vendors etc.",Done Enough,,"RachelMuston, philipe-girard",,Organizational Performance Measurement
Research Phase,Done Enough,Initiative: IT Delegation,,,Concept Briefing - IT Delegation of Authority/MOU
Playbook for MS Teams Webinar,Done Enough,Initiative: Product Management,remyb2canada,,Product Mgt - TMD's Product Management Event Day
Help TMD (previously TMOR) with Product Management day event 2022,Done Enough,Initiative: Product Management,remyb2canada,,Product Mgt - TMD's Product Management Event Day
Check in with Unions/HR on LDV procurement (GCDevEx),Done Enough,"Outreach, Initiative: Micro-acquisition, On Hold",,,Micro-acquisitions pilot: Communications
Connect with the office of the procurement ombudsman,Done Enough,"Communications, Initiative: Micro-acquisition, On Hold",,,Micro-acquisitions pilot: Communications
Investigate other governments,Done Enough,Initiative: Product Management,remyb2canada,,Product Mgt - Scan current state
MA - prepare comms to go in IITB news in Feb,Done Enough,Initiative: Micro-acquisition,,,Micro-acquisitions pilot: Communications
Develop the monitoring process,Done Enough,"Initiative: Micro-acquisition, On Hold",,,Micro-acquisitions pilot: Operations and Continuous Improvement
"MA - Automate additions and subtractions from the mailing list excel file ",Done Enough,"Initiative: Micro-acquisition, On Hold",,,Micro-acquisitions pilot: Communications
Triage process for micro-acquisition requests,Done Enough,"Initiative: Micro-acquisition, On Hold",,,Micro-acquisitions pilot: Operations and Continuous Improvement
Decide on service levels,Done Enough,Initiative: Micro-acquisition,,,Micro-acquisitions pilot: Operations and Continuous Improvement
MA - community chat - where? how?,Done Enough,Initiative: Micro-acquisition,,,Micro-acquisitions pilot: Communications
MA - opportunity statement for opportunity #2,Done Enough,"Initiative: Micro-acquisition, On Hold",,,Micro-acquisitions pilot: Operations and Continuous Improvement
Ping the IITB Showcase folks again about getting the Q&A questions from our session,Done Enough,Initiative: Micro-acquisition,,,Micro-acquisitions pilot: Operations and Continuous Improvement
MA - review french text for winning supplier email,Done Enough,Initiative: Micro-acquisition,"gabrielcossette, RachelMuston, philipe-girard",,Micro-acquisitions pilot: Operations and Continuous Improvement
